Area Name,Total number of urban  households,Households with no drainage,percentage of household with no drainage,percentage of Urbanisation
JAMMU & KASHMIR,"5,17,168.00","87,308.00",16.88,27.37
HIMACHAL PRADESH,"1,66,043.00","10,698.00",6.44,10.00
PUNJAB,"20,94,067.00","1,90,486.00",9.10,37.50
CHANDIGARH,"2,28,276.00","9,124.00",4.00,97.25
UTTARAKHAND,"5,92,223.00","42,023.00",7.10,30.20
HARYANA,"17,51,901.00","1,35,833.00",7.75,34.90
NCT OF DELHI,"32,61,423.00","1,29,061.00",3.96,97.50
RAJASTHAN,"30,90,940.00","4,31,541.00",13.96,24.90
UTTAR PRADESH,"74,49,195.00","4,94,539.00",6.64,22.28
BIHAR,"20,13,671.00","5,76,082.00",28.61,11.30
SIKKIM,"35,761.00","2,819.00",7.88,25.00
ARUNACHAL PRADESH,"65,891.00","22,265.00",33.79,22.94
NAGALAND,"1,15,054.00","27,010.00",23.48,28.86
MANIPUR,"1,71,400.00","50,735.00",29.60,29.21
MIZORAM,"1,16,203.00","23,845.00",20.52,51.50
TRIPURA,"2,35,002.00","1,09,402.00",46.55,26.17
MEGHALAYA,"1,16,102.00","22,829.00",19.66,20.07
ASSAM,"9,92,742.00","4,33,335.00",43.65,14.10
WEST BENGAL,"63,50,113.00","21,06,237.00",33.17,31.89
JHARKHAND,"14,95,642.00","4,36,670.00",29.20,24.05
ODISHA,"15,17,073.00","6,21,332.00",40.96,16.70
CHATTISGARH,"12,38,738.00","3,85,228.00",31.10,23.24
MADHYA PRADESH,"38,45,232.00","6,78,946.00",17.66,27.60
GUJARAT,"54,16,315.00","9,40,473.00",17.36,43.00
DAMAN & DIU,"47,631.00","10,841.00",22.76,75.20
DADRA & NAGAR HAVELI,"37,655.00","14,047.00",37.30,46.72
MAHARASHTRA,"1,08,13,928.00","9,56,936.00",8.85,45.20
ANDHRA PRADESH,"67,78,225.00","7,95,863.00",11.74,33.49
KARNATAKA,"53,15,715.00","6,59,277.00",12.40,38.67
GOA,"1,98,139.00","43,678.00",22.04,62.20
LAKSHADWEEP,"8,180.00","6,059.00",74.07,78.07
KERALA,"36,20,696.00","16,45,641.00",45.45,47.70
TAMIL NADU,"89,29,104.00","22,37,578.00",25.06,48.40
PUDUCHERRY,"2,06,143.00","35,919.00",17.42,68.30
ANDAMAN & NICOBAR ISLANDS,"34,346.00","4,794.00",13.96,37.70
